/media/marius/DISK GROS/Projets informatiques/Imolation/Git/Imolation/data/,Reponses,qq,,
2.jpg,Lequel des composants ci-dessous n'est pas une innovation de DDMRP ?  Veuillez choisir une réponse : L’équation de flux disponible  Le délai découplé  LUhorizon de qualification des prévisions  analyse d'équilibre du réapprovisionnement activement synchronisé Je ne souhaite pas répondre 4 la question (0 point) ,90,,
3.jpg,Qu’appelle t-on MUDA ?  Veuillez choisir une réponse : © les gaspillages  O la variabilité O les excés  © la qualité  °  Je ne souhaite pas répondre a la question (0 point) ,['Réponse'],,
4.jpg,Décodez le sigle PDCA  Veuillez choisir une réponse : O Proposer Discuter Critiquer Abandonner  © Plan Directeur Commercial Actif  O Probléme et Dysfonctionnement a Caractére Aggravant  © Plan Do Check Act  O Jene souhaite pas répondre a la question (0 point)  Effacer mon choix ,['C'],,
5.jpg,La démarche Kaizen consiste  Veuillez choisir une réponse : © Ainvestir dans un nouveau équipement plus moderne de facon a ne plus rencontrer de probléme  © mettre en place de petites améliorations en continue O  améliorer la qualité cotite que cotite  O trouver des solutions techniques pour diminuer le nombre d’opérateurs © Je ne souhaite pas répondre a la question (0 point)  Effacer mon choix ,['A'],,
6.jpg,"Parmi les gaspillages suivants, quel est celui qui génére les autres gaspillages ?  Veuillez choisir une réponse :  ® mouvement © surproduction © transport  O attente °  Je ne souhaite pas répondre la question (0 point)  Effacer mon choix ",['D'],,
7.jpg,Le Takt time...  Veuillez choisir une réponse : © correspond au temps de réalisation d’un lot  © correspond a une séquence de produits réalisés © représente la cadence & laquelle le client demande le produit © correspond au temps de cycle  © Je ne souhaite pas répondre a la question (0 point)  Effacer mon choix ,['B'],,
8.png,"Parmi les affirmations suivantes, choisir les affirmations vraies : A - La méthode SMED permet de diminuer le nombre de réglages B - La méthode SMED permet de diminuer la durée du réglage des machines  C - Les réglages internes (qui peuvent se faire uniquement en arrétant la machine) doivent étre transformés en réglages externes (qui peuvent se faire sans arréter la machine)  D - L'amélioration du transport des outillages et des piéces permet de diminuer les temps d'arrét de la machine  Veuillez choisir une réponse :  OA @ ABetdD O Betc O Cetd  © Je ne souhaite pas répondre a la question (0 point)  Effacer mon choix ",['B'],,
9.jpg,"Laquelle des propositions suivantes est vraie ?  N.B : DF (délai de fabrication), DLT (Délai découplé), DC (Délai Cumulé), DA (Délai d’Achat)  Veuillez choisir une réponse : @ DF<DIT<DC  DF = DC seulement quant le DLT est découplé DA > DLT DF > DLT > DC=DA  Je ne souhaite pas répondre a la question (0 point)  Effacer mon choix ",['C'],,
10.jpg,Lequel des composants ci-dessous n'est pas une innovation de DDMRP ?  Veuillez choisir une réponse : © Léquation de flux disponible  Le délai découplé Uhorizon de qualification des prévisions Lanalyse d'équilibre du réapprovisionnement activement synchronisé  Je ne souhaite pas répondre a la question (0 point)  Effacer mon choix ,['B'],,
11.png,"   Veuillez choisir une réponse :  O cela est imposé par la certification ISO, on doit les remplir pour les audits  O acontrdéler en permanence le travail des employés  © amesurer réguliérement des informations pour analyser les écarts  O agarnir les panneaux d'affichage dans les services  O Jene souhaite pas répondre a la question (0 point)  Effacer mon choix ",['A'],,
12.png,Le temps de changement de série correspond ...  Veuillez choisir une réponse : O au temps mis par un(e) employé(e) pour vérifier le bon fonctionnement de son poste  © au temps qui s’écoule entre la derniére opération d'une activité et la premiére opération de l’activité suivante  O au temps qu'il faut pour faire un changement d'équipe dans de bonnes  conditions  O au temps qui sera mis pour réaliser une nouvelle opération  O Je ne souhaite pas répondre a la question (0 point)  Effacer mon choix ,['C'],,
13.png,Tous les éléments suivants sont pris en compte pour calculer le flux disponible sauf :  Veuillez choisir une réponse :  © Le stock physique  © Les approvisionnements en cours © Lademande qualifiées  @ Le top du vert  © Je ne souhaite pas répondre a la question (0 point)  Effacer mon choix ,['C'],,
14.png,"Avec DDMRP, quel est le niveau de buffer a prendre en compte pour une alerte sur le stock physique ?  Veuillez choisir une réponse :  © ToR d'un point de vue plannig @ To) d'un point de vue exécution  © ToR d'un point de vue exécution  O To) d'un point de vue plannig  © Je ne souhaite pas répondre a la question (0 point)  Effacer mon choix ",['B'],,
15.png,"Considérant deux équipes qui travaillent 8 heures par jour et 30 minutes de pause par équipe, 220 jours travaillés par an. La demande annuelle est de 144 000 piéces. Le takt time est :  Veuillez choisir une réponse :  O°  Oo © Oo Oo  0.68 minutes 0.72 minutes 1.37 minutes 1.47 minutes  Je ne souhaite pas répondre a la question (0 point)  Effacer mon choix ",['D'],,
16.png,Un diagramme spaghetti permet de mettre en évidence...  Veuillez choisir une réponse :  © Les attentes et les transports  © Les transports et les stocks  @ Les transports et les déplacements O Les déplacements et la surproduction  © Je ne souhaite pas répondre a la question (0 point)  Effacer mon choix ,['B'],,
17.png,Le Throughput désigne :  Veuillez choisir une réponse :  © le gain financier  @ [le débit de création de valeur ajoutée © le temps de cycle  O les bénéfices  © Je ne souhaite pas répondre a la question (0 point)  Effacer mon choix ,['C'],,
18.png,Le disponible a vendre est :  Veuillez choisir une réponse : La quantité en stock physique  O Lasomme de la quantité en stock et de la quantité en cours de fabrication  © la quantité en commande  © la quantité disponible sur la période de réapprovisionnement diminuée de la demande client sur la méme période  © je ne souhaite pas répondre a cette question (0 point)  Effacer mon choix ,['C'],,
19.png,Le délai pendant lequel des clients potentiels sont préts a attendre pour la livraison d'un bien ou d'un service définit :  Veuillez choisir une réponse :  © Le délai attendu par les clients O Le délai du marché potentiel  © Le délai de fabrication  O Le délai découplé DLT  O Je ne souhaite pas répondre a la question (0  point)  Effacer mon choix ,['B'],,
20.png,La piéce XYZ a les caractéristiques suivantes : CM) = 10  Délai = 45 jours  Pas de minimum de commande  Facteur de délai = 40%  Un projet d'amélioration réduit le délai pour cette piéce de 45 a 10 jours. Parmi les propositions suivantes laquelle est vraie :  Veuillez choisir une réponse : © Lazone verte va baisser de 180 8 40  © Le profil de buffer pour cette piéce peut changer © Le rapport de la zone rouge et de la zone verte sur la zone jaune va diminuer © Lazone rouge de sécurité va augmenter  [@ Je ne souhaite pas répondre a la question (0 point)  Effacer mon choix ,['D'],,
21.png,Le calcul des besoins net est :  Veuillez choisir une réponse : © une étape du 5S  © une étape du MRP2 © une étape du MSP © une étape du DDMRP  © Je ne souhaite pas répondre a la question (0 point)  Effacer mon choix ,['A'],,
22.png,Qu’est-ce que le point de commande ?  Veuillez choisir une réponse :  © La réunion quotidienne de tous les acheteurs  @ Le niveau minimal du stock qui déclenche la commande © La quantité de commande qui coate le moins cher  O Uendroit ot l'on passe les commandes  © Je ne souhaite pas répondre a la question (0 point)  Effacer mon choix ,['A'],,
23.png,"Si l'on compare l'approche “centrée sur les cotits"" ou “centrée sur le flux"" quelle phrase est vraie ?  Veuillez choisir une réponse : O Travailler aussi vite que possible a chaque étape de process est essentiel pour augmenter le RO! global  © Utiliser des lots plus grands est une tactique pour améliorer l'efficacité du systéme  © S'engager sur des positions de stock stratégique pour protéger la stratégie du marché et le débit du systéme ; acheter sur la base de la qualité, de la fiabilité et des délais sont des tactiques pour protéger et augmenter le flux.  © Baisser les prix et remonter les minimums de commande sont des exemples qui montrent que l'on s'intéresse aux actions pour augmenter le débit  © Je ne souhaite pas répondre a la question (0 point)  Effacer mon choix ",['B'],,
24.jpg,soit la nomenclature suivante:     Quel est le délai de découplage DLT (en jour) du produit RCSZ?  Réponse : ,['B'],,
25.jpg,"La demande moyenne hebdomadaire d'un article est de 15,18 unités avec un écart type de 2,53, L'article est géré par la méthode du recomplétement calendaire et le délai d'approvisionnement est une semaine.  Quelle est le niveau du stock de sécurité permettant d’assurer un taux de service de 85% ?  Réponse : ",['B'],,
26.jpg,Soit le produit fabriqué suivant : - Fabrication sur stock par lot de 200 piéces , - Délai de fabrication 1 semaine ,  + Le stock initial est de 200 piéces.                                                           st |s2 |s3 |sa |s5 |s6 sa_|so | sto Prévisions: 30 |35 |4o |so |60 70 |70 | 60 ‘commandes so [20 [15 | 10  stock 200  Disponible @  vendre  POP fin  POP début     Quel est le stock prévisionnel en fin de semaine S10?  Réponse :    ,[]
27.jpg,Soit la nomenclature suivante :     Données relatives au besoin brut de l'article A  Le planning des ordre proposé de l'article A est connu pour un horizon de 2 mois a partir de la semaine 11 : voir tableau ci-dessous.                                 St=50 L= D=1 Produit A ® a 4 | 8 Lae Besoins Bruts 35 | 70 85 Stock disponible 50 Besoins nets 35 30 70 85 Ordres livraison 35 30 70 85 _proposés | commande 30) 45 85           article B est géré avec une régle d'approvisionnement de type « quantité minimum ». Le lot mini de commande est fixé 8 36 unités. Il y a en semaine 9 un stock de départ de 50 unités.  Quelle est l'ordre proposé de début pour l'article B en semaine 14?  Réponse : ,['40'],,
28.jpg,"Soit I'architecture du produit suivant :                          SE Sous-ensemble E C= Composant paai:t amen! ° “4 a a ped=3 nals Niveau i+                 Les quantités économiques sont : 200 pour SE, 350 pour C1, 250 pour C2     SE        Besoin brut 100 180 200 180 150  ceptions alondues {ordre lance) iia  ‘Stock Disponible Besoin net  Ordre propose fin Ordre propose début                                      Quel est le stock besoin net en semaine $5 pour le produit SE?  Réponse : ",['105'],,
29.jpg,Soit la nomenclature du produit A suivant :  = A B(2) (3) E(S) (4) (3) LY VL (3) VY sche er peretns smn ct og  Donner la relation qui existe entre les besoins du produit D avec les produits en amont dans la nomenclature?  Réponse : ,['36'],,
30.png,Le NQA désigne :  Veuillez choisir une réponse :  @ le niveau de qualité acceptable O le niveau de quantité admissible © le niveau de qualité atteignable © aucune des réponses précédentes  © Je ne souhaite pas répondre a la question (0 point)  Effacer mon choix ,['120 / 70 pr la semaine 4'],,
31.jpg,Une machine fabrique 2 références (ref1 et ref2). On cherche a dimensionner les boucles kanban. Les caractéristiques sont données ci-dessous :  Consommation client de la référence ref : 600 unité par heure Consommation client de la référence ref2 : 200 unité par heure Capacité des conteneurs (quelque soit la référence) : 100 unités Temps de recyclage des kanbans : 30 minutes  temps de changement de série : 60 minutes  Temps de production d'un conteneur de la référence ref : 5 minutes Temps de production d'un conteneur de la référence ref2 : 5 minutes Temps de transport des conteneurs vers les postes clients : 10 minutes  Déterminer I'index rouge pour la référence ref2:  Réponse : ,['Chaque C demande 3D'],,
32.jpg,"Supposons que l'on place un processus de fabrication sous contréle statistique. Le caractére surveillé X a pour valeur cible mo = 14 +1 et un écart- type (de la population) ap = 0,2. On suppose de plus que X est distribué normalement. On utilise une carte de la moyenne et une carte des étendues avec des échantillons de taille 5.     Si le procédé subit un déréglage de 0,1 unités, quelle est la probabilité en pourcentage que la moyenne du prochain échantillon soit située & lextérieur des limites de contréle®? (8 0.01% prés)  Réponse : ",['A'],,
33.jpg,"Quelle est le critére d’acceptation dans la situation suivante : quantité recue 7 500, NQA de 1,5%, contréle normal de niveau III  Réponse : ",['4 pour la ref 2\n11 pour la ref 1'],,
34.jpg,"Supposons que l'on place un processus de fabrication sous contréle statistique. Le caractére surveillé X a pour valeur cible mo = 14 +1 et un écart- type (de la population) op = 0,21. On suppose de plus que X est distribué normalement. On utilise une carte de la moyenne et une carte des 6tendues avec des échantillons de taille 5.  Dans une journée de production, 20 sous-groupes de taille 5 sont prélevés, sur lesquels on a mesuré la caractéristique X. La moyenne des moyennes des échantillons est égale 13,58.  Déterminer l'indice de capabilité Cp (8 0.01 prés)  Réponse : ","['16', '68']",,
35.jpg,"La cible d'une production d'un produit est de 5 + 0.5 mm. L’écart type de la population totale est o= 0,10 ; la taille des échantillons est de 5 pices.  Calculer la limite de contréle supérieure pour la carte de I'étendue. (8 0.001 prés)  Réponse : ",['10'],,
36.jpg,Calcul du buffer : quelle est la position du stock physique moyen ?  © CM) = 25 par jour * Délai découplé DLT = 13 jours Catégorie de délai = moyen Facteur de délai = 50% Catégorie de variabilié = faible  * Facteur de variabilité = 25% * Pas de minimum de commande  Réponse : ,[],,
37.jpg,Deux nomenclatures produits sont présentées ci-dessous.      * CMJ de FPA = 100 avec un FAP de 125% * CM) de FPB = 200 avec un FAP de 120%  Quelle est la CMJ de la piéce PPB aprés application du FAP?  Réponse : ,"['5', '134?']",,
38.jpg,Quelle est la valeur du ToV pour cet article ?  * Délai découplé DLT = 6 jours Délai de fabrication = 4 jours  Catégorie de délai = moyen (50%)  * Facteur de variabilité = Fort (70%)  * Minimum de commande = 100 piéces  * Consommation Moyenne Jour = 40 piéces      Réponse : ,['286'],,
39.jpg,Calcul du buffer : quel est le ToJ ?  * Quantité minimum de commande = 200 © CM) = 25 par jour  délai découplé DLT = 13 jours  Catégorie de délai = moyen  * Facteur de délai = 50%  Catégorie de variabilité = faible  * Facteur de variabilité = 25%        Réponse : ,[],,
40.png,"La piéce 501 est stockée avec un profil B11 (Buy, Délai moyen, Variabilité faible).  Le fournisseur vient juste d'annoncer une augmentation du délai et le  planificateur décide de classer la piéce dans un profil B21 (buy, Deélai  long, Variabilité faible).  Le facteur de délai change donc de moyen (50%) a long (30%).  Il n'y a pas de minimum de commande  Quel sera I'impact ?  Veuillez choisir une réponse :  O°  oO 0 0 ©  Seulement la zone verte sera touchée  Le ToR, ToJ et le ToV vont changer  La zone jaune et la zone verte vont changer Seulement la zone jaune sera touchée  Je ne souhaite pas répondre a la question (0 point)  Effacer mon choix ",['604'],,
41.png,VSM signifie....  Veuillez choisir une réponse :  O°  @  Une abréviation anglaise de la cartographie des flux de valeur Valeur Spécifique d'une Matiére  Vérification Standard Moyenne  Véritable Situation Mesurée  Je ne souhaite pas répondre a la question (0 point) ,['529'],,
42.png,"Pour équilibrer les flux et limiter les stocks, vers quelle équation faut-il se rapprocher :  Veuillez choisir une réponse : © TRS = Takt time  © TRS = temps de cycle  © Temps de cycle = Takt time  O°  Takt time = délai de livraison  O°  Je ne souhaite pas répondre a la question (0 point)  Effacer mon choix ",['B'],,
43.png,Le disponible a vendre est :  Veuillez choisir une réponse :  O La quantité en stock physique  © Lasomme de la quantité en stock et de la quantité en cours de fabrication  © la quantité en commande  © la quantité disponible sur la période de réapprovisionnement diminuée de la demande client sur la méme période  O°  je ne souhaite pas répondre a cette question (0 point) ,['A'],,
44.png,"Calculer le stock de sécurité de facon a avoir un taux de service de 98 % pour une consommation journaliére moyenne supposée fixe de 60 unités et un délai de livraison en moyenne de 5 jours avec un écart type de 1,2 jours.  Réponse: 147,6 ",['C'],,
45.png,"Sur la nomenclature suivante, un buffer de découplage est présent sur les piéces surlignées en jaune. Par hypothése, le délai d'obtention de chaque élément est identique.     Combien de piéces ont un délai découplé DLT supérieur a leur délai de fabrication?  Veuillez choisir une réponse : O1  03 O4  O5 ",['D'],,
46.png,Le MRP permet :  Veuillez choisir une réponse :  © de calculer la capacité de production  © de calculer le besoin en composants  O de créer des nomenclatures  © d'alimenter le plan industriel et commercial  © je ne souhaite pas répondre a cette question (0 point)  Effacer mon choix ,[],,
47.png,Calcul du buffer : quel est le ToV ? © CM) = 25 par jour  * Délai découplé DLT = 13 jours  * Catégorie de délai = moyen  * Facteur de délai = 50%  * Catégorie de variabilié = faible * Facteur de variabilité = 259%  * Pas de minimum de commande         Réponse: 691 ,[],,
48.png,Une carte de contréle sert a     Veuillez choisir une réponse :  ©  visualiser et enregistrer par écrit les caractéristiques et les écarts de conformité  mesurer les opérations d'une phase de travail déclencher un signal sonore ou lumineux en cas de défaut enregistrer le nombre d'opérations réalisées  Je ne souhaite pas répondre a la question (0 point)  Effacer mon choix ,['B'],,
49.png,Les limites de contrdle des cartes de contréle sont calculées a partir  de:  Veuillez choisir une réponse :  ®  O°  Lintervalle de tolérance  Risque de non détection (risque B) Risque de fausse alarme (risque a) Courbes d’efficacité  Je ne souhaite pas répondre a cette question (0 point)  Effacer mon choix ,['125'],,
50.png,Calcul du buffer : quelle est la position du stock physique moyen ? © CM) = 25 par jour  * Délai découplé DLT = 13 jours  * Catégorie de délai = moyen  * Facteur de délai = 50%  * Catégorie de variabilié = faible  * Facteur de variabilité = 259%  * Pas de minimum de commande     Réponse :    ,['A'],,
51.png,La valeur maximale que peut atteindre Cpk est :  Veuillez choisir une réponse : OM ess  O 12 O Ppm  © Cp  O°  Je ne souhaite pas répondre a la question (0 point)  Effacer mon choix ,['A'],,
52.png,"Le jouet (appelé ci-dessous PF) résulte de l'assemblage de trois sous- ensembles dénommés A, B, et C, montés eux-mémes a partir des composants D, E, F, G et H. Le produit et les sous-ensembles sont montés a la commande dans I'atelier de la société, alors que les composants élémentaires sont achetés a un sous-traitant local.  La nomenclature du produit se présente alors suivant la figure ci- dessous ; les chiffres associés a chaque lien de nomenclature indiquent le nombre de composants nécessaires au composé de niveau immédiatement supérieur.     Pour 1 PF quel est le coefficient d'emploi de l'article F (par rapport a PF)?  Réponse    ",['286'],,
53.png,"Soit la nomenclature suivante :  SE : Sous-ensemble C: Composant  Niveaui+1     Les quantités économiques  50 pour SE1, 200 pour SE2, 500 pour C     sont  Le tableau de calcul des besoins nets pour SE1 et SE2 est donné ci-dessou:        st 32 33 4           Besoin brut 100 150 150 180 150        Stock Disponible | 220 120           SE2 st 2 33  Besoin brut ° 0 100  Receptions atlendues (ordre anes)  Stock Disponible | 140 14050 150 Besoin net 50 Ordre proposé fin [200 Ordre proposé abut 200        120                    Quels sont les besoins net du produit C en Semaine $3?  Réponse : ",['D'],,
54.png,"La piéce 501 est stockée avec un profil B11 (Buy, Délai moyen, Variabilité faible).  Le fournisseur vient juste d’annoncer une augmentation du délai et le planificateur décide de classer la piéce dans un profil B21 (buy, Délai long, Variabilité faible).  Le facteur de délai change donc de moyen (50%) a long (30%). IIn'y a pas de minimum de commande  Quel sera impact ?  Veuillez choisir une réponse : O Seulement la zone verte sera touchée  Le ToR, Tol et le ToV vont changer La zone jaune et la zone verte vont changer  ‘Seulement la zone jaune sera touchée  Oo 0 0 0  Je ne souhaite pas répondre a la question (0 point) ",['4'],,
55.png,"Si le stock de sécurité d'un produit était 100 piéces et que la consommation moyenne hebdomadaire est de 500 piéces avec un écart type de 80 piéces par semaine, quel serait en pourcentage le taux de service ? (a 0.01% prés)  Réponse : ",[],,
56.png,Soit la nomenclature du produit A suivant :  ~ 3 B(2) 3) ses 2a) 3 a  Donner la relation qui existe entre les besoins du produit C avec les produits en amont dans la nomenclature?  Réponse : ,['Tor Toj et Tov changent'],,
57.png,"Sachant que 6, est I'indice de déréglage tel que my=Cible + 5, dp (ma représente la moyenne de la distribution). La caractéristique suivie est donné par l'intervalle [24,800 ; 25,200].  Cp = 2,18; Pp = 2,04 ; Ppk = 1,74.  Déterminer lindice de déréglage 5, a partir de Cp et Ppk (8 0,001 prés)  Réponse : ",['89.43'],,
58.png,La piece SAB est bufferisée. Les données sont :  * Zone rouge: 122  * Zone jaune: 142  * Zone verte : 50  * délai découplé DLT: 10 jours  * Stock physique : 100  * Seuil de détection de pic = 50%     En cours:  © quantité 80 - date due : 02/02/2015 © quantité 53 - date due : 09/02/2015  Commandes clients :  © quantité 10 - date due : 04/02/2015 © quantité 12 - date due : 05/05/2015  aujourd'hui nous sommes le 01/02/2015  Quelle la commande de réapprovisionnement pour aujourd'hui?  Réponse : ,['C=3A+4B'],,
59.png,"   Sur la nomenclature suivante, il y @ un buffer sur les piéces surlignées en jaune.  201-8 aa8 203-5 cays 204-7 aay I  se s | en | RE)  Quel est le délai cumulé de la piéce 101?  Réponse : ",['réponse?'],,
60.png,"Soit la nomenclature suivante :     La piéce FPB est stockée avec un profil « Fabriqué, Délai long, Variabilité moyenne », les données sont :  © Quantité minimum de commande : 250 © CMJ: 100 par jour  © Délai découplé : 23 jours Facteur de délai : 25% Facteur de variabilité : 50%  Déterminer les valeurs du Top du jaune.  Réponse: 2877 ",[],,
61.png,"La cible d'une production d'un produit est de 5 + 0.5 mm. L’écart type de la population totale est o= 0,10 ; la taille des échantillons est de 5 piéces.     limite de contrdle inférieure pour la carte de la moyenne. (a 0.001 prés) ",['0'],,
62.png,"Sur la nomenclature suivante, la durée d’obtention (en jour) de chaque piéce est indiqué dans les cercles gris. Il y a un buffer sur les piéces surlignées en jaune.                                            Sil'on décide de stocker (buffer) la piéce 203, Quel est en jour le gain sur le délai découplé?  Réponse    ",['3163'],,
63.png,"Calculer le stock de sécurité de fagon a avoir un taux de service de 98 % pour une consommation journaliére moyenne supposée fixe de 60 unités et un délai de livraison en moyenne de 5 jours avec un écart type de 1,2 jours.  Réponse : ",['5.134?'],,
